Year	Total in Thousands	Non-movers	Domestic Movers	Movers from abroad	Persons Obtaining Lawful Permanent Resident Status	Refugee Arrivals	Individuals Granted Asylum
2015	314992	279854	33857	1281	1051031	69920	26124
2014	312295	275971	34651	1673	1016518	69975	23374
2013	309601	273920	34548	1133	990553	69909	25151
2012	307243	271325	34882	1036	1031631	58179	28146
2011	304924	268436	35334	1154	1062040	56384	23557
2010	302640	267602	33953	1084	1042625	73293	19746
2009	300419	262975	36459	985	1130818	74602	22280
2008	297182	260077	36017	1087	1107126	60107	23021
2007	294851	259685	34022	1145	1052415	48218	25307
2006	292749	254068	37490	1191	1266129	41094	26352
2005	289781	249945	38541	1296	1122257	53738	25304
2004	287148	247261	38023	1865	957883	52840	27376
2003	284367	245372	37723	1272	703542	28286	28743
2002	282556	242463	38824	1269	1059356	26785	36937
2001	278160	237049	39548	1563	1058902	68920	39148
2000	275611	236605	37251	1756	841002	72165	32514
1999	270219	226831	41642	1746	644787	85285	26571
1998	267933	225297	41207	1429	653206	76712	20507
1997	265209	222702	41304	1203	797847	69653	22939
1996	262976	219585	42088	1303	915560	75421	23532
1995	260406	217868	41176	1361	720177	98973	20703
1994	258248	215931	41539	778	803993	111680	13828
1993	255774	212939	41590	1245	903916	114181	9543
1992	252799	209700	41704	1395	973445	115548	6307
1991	247380	204580	41545	1255	1826595	113389	5035
1990	244884	203345	40154	1385	1535872	122066	8472
1989	242208	198827	41821	1560	1090172	107070	
1988	239793	197173	41153	1467	641346	76483	
1987	237431	195258	40974	1200	599889	64528	
1986	235089	191396	42551	1142	600027	62146	
1985	232998	189760	42037	1200	568149	67704	
1984	230333	183863	45043	1427	541811	70393	
1983	228232	188853	38300	1079	550052	61218	
1982	225874	188465	36430	978	533624	98096	
1981	223719	185592	37039	1088	595014	159252	
1980	221641	183442	36887	1313	524295	207116	
1979					394244		
1978					589810		
1977					458755		
1976					499093		
1975	208069	171276	35645	1148	385378		
1974					393919		
1973					398515		
1972					384685		
1971					370478		
1970	201506	163800	36161	1544	373326		
1969	198955	160860	36541	1554	358579		
1968	196642	159310	35933	1399	454448		
1967	194621	156735	36603	1283	361972		
1966	192233	155710	35200	1323	323040		
1965	190242	152656	36703	883	296697		
1964	187974	149128	37866	978	292248		
1963	185312	148125	36327	859	306260		
1962	182541	146109	35411	1021	283763		
1961	179663	144445	34364	854	271344		
1960	177354	140821	35535	998	265398		
1959	174451	139766	33811	874	260686		
1958	170658	137018	32804	836	253265		
1957	167604	133501	33263	840	326867		
1956	164371	131648	31834	889	321625		
1955	161497	127457	33098	942	237790		
1954	158609	126190	31492	927	208177		
1953	155679	125654	29207	998	170434		
1952	153038	121512	30786	740	265520		
1951	150494	120016	29840	638	205717		
1950	148400	116936	31158	306	249187		
1949	146864	118849	27526	491	188317		
1948	144101	116498	27127	476	170570		
1947	141698	113026	28210	462	147292		
1946					108721		
1945					38119		
1944					28551		
1943					23725		
1942					28781		
1941					51776		
1940					70756		
1939					82998		
1938					67895		
1937					50244		
1936					36329		
1935					34956		
1934					29470		
1933					23068		
1932					35576		
1931					97139		
1930					241700		
1929					279678		
1928					307255		
1927					335175		
1926					304488		
1925					294314		
1924					706896		
1923					522919		
1922					309556		
1921					805228		
1920					430001		
1919					141132		
1918					110618		
1917					295403		
1916					298826		
1915					326700		
1914					1218480		
1913					1197892		
1912					838172		
1911					878587		
1910					1041570		
1909					751786		
1908					782870		
1907					1285349		
1906					1100735		
1905					1026499		
1904					812870		
1903					857046		
1902					648743		
1901					487918		
1900					448572		
1899					311715		
1898					229299		
1897					230832		
1896					343267		
1895					258536		
1894					285631		
1893					439730		
1892					579663		
1891					560319		
1890					455302		
1889					444427		
1888					546889		
1887					490109		
1886					334203		
1885					395346		
1884					518592		
1883					603322		
1882					788992		
1881					669431		
1880					457257		
1879					177826		
1878					138469		
1877					141857		
1876					169986		
1875					227498		
1874					313339		
1873					459803		
1872					404806		
1871					321350		
1870					387203		
1869					352768		
1868					138840		
1867					315722		
1866					318568		
1865					248120		
1864					193418		
1863					176282		
1862					91985		
1861					91918		
1860					153640		
1859					121282		
1858					123126		
1857					251306		
1856					200436		
1855					200877		
1854					427833		
1853					368645		
1852					371603		
1851					379466		
1850					369980		
1849					297024		
1848					226527		
1847					234968		
1846					154416		
1845					114371		
1844					78615		
1843					52496		
1842					104565		
1841					80289		
1840					84066		
1839					68069		
1838					38914		
1837					79340		
1836					76242		
1835					45374		
1834					65365		
1833					58640		
1832					60482		
1831					22633		
1830					23322		
1829					22520		
1828					27382		
1827					18875		
1826					10837		
1825					10199		
1824					7912		
1823					6354		
1822					6911		
1821					9127		
1820					8385		
