Year,Amt,Type,
1996,1,Murder,
1997,0.926851616,Murder,
1998,0.864036651,Murder,
1999,0.790124714,Murder,
2000,0.79338254,Murder,
2001,0.816340036,Murder,
2002,0.826113515,Murder,
2003,0.841333673,Murder,
2004,0.821990328,Murder,
2005,0.852125223,Murder,
2006,0.881089336,Murder,
2007,0.871875795,Murder,
2008,0.83812675,Murder,
2009,0.783863579,Murder,
2010,0.749401883,Murder,
2011,0.746296768,Murder,
2012,0.756222957,Murder,
2013,0.728887758,Murder,
2014,0.720997709,Murder,
2015,0.798981929,Murder,
1996,1,Rape,
1997,1,Rape,
1998,0.99897145,Rape,
1999,0.967709762,Rape,
2000,0.928926152,Rape,
2001,0.936894818,Rape,
2002,0.944011553,Rape,
2003,0.989433986,Rape,
2004,0.975387524,Rape,
2005,0.987917134,Rape,
2006,0.980208203,Rape,
2007,0.981506878,Rape,
2008,0.957486598,Rape,
2009,0.942837551,Rape,
2010,0.927159955,Rape,
2011,0.889259444,Rape,
2012,0.874527283,Rape,
2013,0.884563438,Rape,
2014,0.853062794,Rape,
2015,0.881685575,Rape,
1996,1,Robbery,
1997,0.930805797,Robbery,
1998,0.834934671,Robbery,
1999,0.764330818,Robbery,
2000,0.761800916,Robbery,
2001,0.790817298,Robbery,
2002,0.785680945,Robbery,
2003,0.773412324,Robbery,
2004,0.749578972,Robbery,
2005,0.7793926,Robbery,
2006,0.838780868,Robbery,
2007,0.835192329,Robbery,
2008,0.828170218,Robbery,
2009,0.763156421,Robbery,
2010,0.689120864,Robbery,
2011,0.662341251,Robbery,
2012,0.662910712,Robbery,
2013,0.644318271,Robbery,
2014,0.602891369,Robbery,
2015,0.611235376,Robbery,
1996,1,Assualt,
1997,0.986646725,Assualt,
1998,0.941694173,Assualt,
1999,0.879167715,Assualt,
2000,0.87913493,Assualt,
2001,0.876547781,Assualt,
2002,0.85956112,Assualt,
2003,0.828340802,Assualt,
2004,0.817107967,Assualt,
2005,0.831416838,Assualt,
2006,0.842868563,Assualt,
2007,0.835407006,Assualt,
2008,0.813542079,Assualt,
2009,0.783486605,Assualt,
2010,0.753912303,Assualt,
2011,0.72554238,Assualt,
2012,0.734785917,Assualt,
2013,0.700812594,Assualt,
2014,0.704970546,Assualt,
2015,0.737138747,Assualt,
1996,1,Burglary,
1997,0.981697255,Burglary,
1998,0.930711379,Burglary,
1999,0.838149936,Burglary,
2000,0.818301947,Burglary,
2001,0.844450606,Burglary,
2002,0.858303543,Burglary,
2003,0.859732684,Burglary,
2004,0.855588094,Burglary,
2005,0.859977657,Burglary,
2006,0.875755267,Burglary,
2007,0.873842164,Burglary,
2008,0.889278248,Burglary,
2009,0.879074769,Burglary,
2010,0.865168768,Burglary,
2011,0.87182413,Burglary,
2012,0.841817747,Burglary,
2013,0.770882142,Burglary,
2014,0.683511411,Burglary,
2015,0.630197494,Burglary,
1996,1,Larceny,
1997,0.97964182,Larceny,
1998,0.933156856,Larceny,
1999,0.879923741,Larceny,
2000,0.881956713,Larceny,
2001,0.897223229,Larceny,
2002,0.892809644,Larceny,
2003,0.888941432,Larceny,
2004,0.877592086,Larceny,
2005,0.858155259,Larceny,
2006,0.838282993,Larceny,
2007,0.833877884,Larceny,
2008,0.833202841,Larceny,
2009,0.801815,Larceny,
2010,0.78492704,Larceny,
2011,0.778158143,Larceny,
2012,0.780407315,Larceny,
2013,0.761505993,Larceny,
2014,0.734887475,Larceny,
2015,0.721894168,Larceny,
1996,1,Motor-vehicle,
1997,0.971275349,Motor-vehicle,
1998,0.891369336,Motor-vehicle,
1999,0.826311577,Motor-vehicle,
2000,0.83199712,Motor-vehicle,
2001,0.881048286,Motor-vehicle,
2002,0.894141459,Motor-vehicle,
2003,0.904598784,Motor-vehicle,
2004,0.887833354,Motor-vehicle,
2005,0.886404617,Motor-vehicle,
2006,0.859426439,Motor-vehicle,
2007,0.789299962,Motor-vehicle,
2008,0.687873233,Motor-vehicle,
2009,0.570671578,Motor-vehicle,
2010,0.53044387,Motor-vehicle,
2011,0.513906521,Motor-vehicle,
2012,0.518696234,Motor-vehicle,
2013,0.502272926,Motor-vehicle,
2014,0.492600976,Motor-vehicle,
2015,0.507630691,Motor-vehicle,
1996,0.927062754,Refugees,
1997,0.927791994,Refugees,
1998,0.926916906,Refugees,
1999,0.771389931,Refugees,
2000,0.747590194,Refugees,
2001,0.971785047,Refugees,
2002,0.989140955,Refugees,
2003,0.796953103,Refugees,
2004,0.639317962,Refugees,
2005,0.544861511,Refugees,
2006,0.712507127,Refugees,
2007,0.700600628,Refugees,
2008,0.375041434,Refugees,
2009,0.355139815,Refugees,
2010,0.913803848,Refugees,
2011,0.956829,Refugees,
2012,1.130785855,Refugees,
2013,1.017117249,Refugees,
2014,0.923522626,Refugees,
2015,1,Refugees,
1996,0.723117471,Lawfull,
1997,0.630146691,Lawfull,
1998,0.515907937,Lawfull,
1999,0.509258535,Lawfull,
2000,0.664230896,Lawfull,
2001,0.836330263,Lawfull,
2002,0.836688837,Lawfull,
2003,0.555663759,Lawfull,
2004,0.756544554,Lawfull,
2005,0.886368609,Lawfull,
2006,1,Lawfull,
2007,0.831206773,Lawfull,
2008,0.87441801,Lawfull,
2009,0.893130163,Lawfull,
2010,0.823474543,Lawfull,
2011,0.838808684,Lawfull,
2012,0.814791384,Lawfull,
2013,0.782347612,Lawfull,
2014,0.802855001,Lawfull,
2015,0.830113677,Lawfull,
1996,0.897373737,Non-Im,
1997,0.953131313,Non-Im,
1998,0.949777778,Non-Im,
1999,0.972525253,Non-Im,
2000,1,Non-Im,
2001,0.934949495,Non-Im,
