Metropoliton,Year,Population,Violent,Property,Lat,Long
Abilene  TX,2005,116695,576,5504,32.4487364,-99.7331439
Akron  OH,2005,212272,1265,12040,41.0814447,-81.5190053
Albany  GA,2005,78353,516,4991,31.5785074,-84.155741
Albany-Schenectady-Troy  NY,2005,94361,1275,4883,42.6525793,-73.7562317
Albuquerque  NM,2005,490631,4670,30243,35.110703,-106.609991
Alexandria  LA,2005,46051,1022,3787,31.3112936,-92.4451371
Allentown-Bethlehem-Easton  PA-NJ,2005,106933,863,5771,40.6084305,-75.4901833
Altoona  PA,2005,47922,186,1653,40.5186809,-78.3947359
Amarillo  TX,2005,183765,1537,11850,35.2219971,-101.8312969
Ames  IA,2005,52529,98,1537,42.034722,-93.62
Anchorage  AK,2005,276109,2031,11365,61.2180556,-149.9002778
Anderson  IN,2005,58262,150,2688,39.768403,-86.158068
Ann Arbor  MI,2005,113660,358,3379,42.2808256,-83.7430378
Appleton  WI,2005,70640,173,2083,44.2619309,-88.4153847
Asheville  NC,2005,71571,434,5266,35.5950581,-82.5514869
Athens-Clarke County  GA,2005,105727,357,5593,33.95,-83.383333
Auburn-Opelika  AL,2005,48643,154,2172,32.6098566,-85.4807825
Augusta-Richmond County  GA-SC,2005,0.993,2050,23620,33.4734978,-82.0105148
Austin-Round Rock  TX,2005,693019,3393,41668,30.267153,-97.7430608
Bakersfield  CA,2005,285821,1706,16438,35.3732921,-119.0187125
Bangor  ME,2005,31697,65,1568,44.8011821,-68.7778138
Barnstable Town  MA,2005,48403,346,1238,41.7003208,-70.3002024
Baton Rouge  LA,2005,224487,2698,14378,30.4582829,-91.1403196
Battle Creek  MI,2005,63054,755,3472,42.3211522,-85.1797142
Bay City  MI,2005,35346,168,1155,43.5944677,-83.8888647
Beaumont-Port Arthur  TX,2005,114141,1130,8320,30.080174,-94.1265562
Bellingham  WA,2005,73980,174,5573,48.74908,-122.4781473
Billings  MT,2005,97898,201,5520,45.7832856,-108.5006904
Binghamton  NY,2005,45930,177,1902,42.0986867,-75.9179738
Bismarck  ND,2005,56825,51,1488,46.8083268,-100.7837392
Blacksburg-Christiansburg-Radford  VA,2005,39778,55,562,37.2295733,-80.4139393
Bloomington  IN,2005,69158,171,2683,39.165325,-86.5263857
Bowling Green  KY,2005,51634,328,3020,36.9685219,-86.4808043
Bremerton-Silverdale  WA,2005,36454,402,1890,47.5673202,-122.6329356
Bridgeport-Stamford-Norwalk  CT,2005,140177,1508,7118,41.1865478,-73.1951767
Brownsville-Harlingen  TX,2005,163877,903,8313,25.9017472,-97.4974838
Brunswick  GA,2005,16418,388,1331,31.1499528,-81.4914894
Burlington  NC,2005,47421,420,3207,36.0956918,-79.4377991
Cape Coral-Fort Myers  FL,2005,130874,361,3900,26.5628537,-81.9495331
Carson City  NV,2005,1,294,1449,39.1637984,-119.7674034
Casper  WY,2005,51520,135,2699,42.866632,-106.313081
Cedar Rapids  IA,2005,122698,417,6391,41.9778795,-91.6656232
Charleston  WV,2005,51728,555,3836,38.3498195,-81.6326234
