State,Profession,Total
Delaware,Executive,138
Delaware,Professional,389
Delaware,Sales,40
Delaware,Administrative,0
Delaware,Farming,20
Delaware,Operators,107
Delaware,Precision,72
Delaware,Service,185
Delaware,Military,0
Delaware,No,1471
Delaware,Unknown,512
District of Columbia,Executive,115
District of Columbia,Professional,242
District of Columbia,Sales,60
District of Columbia,Administrative,53
District of Columbia,Farming,0
District of Columbia,Operators,61
District of Columbia,Precision,0
District of Columbia,Service,174
District of Columbia,Military,0
District of Columbia,No,865
District of Columbia,Unknown,830
Florida,Executive,5175
Florida,Professional,6563
Florida,Sales,2002
Florida,Administrative,1486
Florida,Farming,633
Florida,Operators,2676
Florida,Precision,1709
Florida,Service,4343
Florida,Military,8
Florida,No,44409
Florida,Unknown,53882
Georgia,Executive,1919
Georgia,Professional,3506
Georgia,Sales,714
Georgia,Administrative,364
Georgia,Farming,0
Georgia,Operators,1340
Georgia,Precision,564
Georgia,Service,1339
Georgia,Military,0
Georgia,No,14089
Georgia,Unknown,7511
Hawaii,Executive,119
Hawaii,Professional,341
Hawaii,Sales,141
Hawaii,Administrative,158
Hawaii,Farming,353
Hawaii,Operators,207
Hawaii,Precision,25
Hawaii,Service,276
Hawaii,Military,0
Hawaii,No,3377
Hawaii,Unknown,1475
Idaho,Executive,44
Idaho,Professional,158
Idaho,Sales,11
Idaho,Administrative,0
Idaho,Farming,0
Idaho,Operators,264
Idaho,Precision,33
Idaho,Service,111
Idaho,Military,0
Idaho,No,1420
Idaho,Unknown,661
Illinois,Executive,1864
Illinois,Professional,4948
Illinois,Sales,841
Illinois,Administrative,676
Illinois,Farming,608
Illinois,Operators,1632
Illinois,Precision,0
Illinois,Service,1917
Illinois,Military,0
Illinois,No,20332
Illinois,Unknown,18839
Indiana,Executive,194
Indiana,Professional,717
Indiana,Sales,69
Indiana,Administrative,61
Indiana,Farming,38
Indiana,Operators,208
Indiana,Precision,55
Indiana,Service,196
Indiana,Military,0
Indiana,No,3185
Indiana,Unknown,2187
Iowa,Executive,72
